Features, Ratio
victim,             28.8 
investigator,             28.3 
probation,             28.3 
violent,             27.9 
misdemeanor,             26.4 
convictions,             25.0 
plea,             25.0 
bail,             81.7 
gang,             69.0 
prosecutor,             53.0 
plea,             41.7 
crimes,             39.3 
violent,             39.0 
sentencing,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
victim,             34.1 
arrested,             32.3 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
defendants,             29.3 
spate,             25.0 
surveillance,             25.0 
prison,             24.1 
gang,             69.0 
crimes,             55.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
prison,             29.4 
victim,             28.8 
fbi,             28.3 
violent,             27.9 
arrest,             26.5 
misdemeanor,             26.4 
sentence,             26.4 
convictions,             25.0 
bail,             81.7 
gang,             69.0 
prosecutor,             53.0 
suspect,             45.0 
violent,             39.0 
arrest,             38.3 
sentencing,             38.3 
addicts,             35.0 
victim,             34.1 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
defendants,             29.3 
probation,             28.3 
arrested,             27.3 
witnesses,             27.0 
gang,             69.0 
prison,             53.0 
prosecution,             51.7 
bail,             49.0 
suspect,             45.0 
crimes,             39.3 
addicts,             35.0 
victim,             34.1 
arraigned,             31.7 
arraignment,             31.7 
weapon,             31.7 
arrest,             31.4 
defendants,             29.3 
crime,             28.3 
violent,             27.9 
arrested,             27.3 
witnesses,             27.0 
misdemeanor,             26.4 
convictions,             25.0 
narcan,             25.0 
bail,             81.7 
gang,             69.0 
prosecutor,             53.0 
suspect,             45.0 
convictions,             41.7 
crimes,             39.3 
violent,             39.0 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
victim,             28.8 
arrest,             26.5 
misdemeanor,             26.4 
plea,             25.0 
spate,             25.0 
surveillance,             25.0 
gang,             69.0 
victim,             53.6 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
violent,             39.0 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
weapon,             31.7 
prosecution,             31.0 
crimes,             30.6 
probation,             28.3 
arrest,             26.5 
misdemeanor,             26.4 
convictions,             25.0 
expose,             25.0 
narcan,             25.0 
overdoses,             25.0 
gang,            115.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
convictions,             41.7 
plea,             41.7 
crimes,             39.3 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
defendants,             29.3 
victim,             28.8 
violent,             27.9 
witnesses,             27.0 
arrest,             26.5 
misdemeanor,             26.4 
gang,            115.0 
prosecutor,             88.3 
bail,             49.0 
suspect,             45.0 
sentencing,             38.3 
misdemeanor,             37.0 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
arrest,             31.4 
prosecution,             31.0 
crimes,             30.6 
prison,             29.4 
victim,             28.8 
violent,             27.9 
arrested,             27.3 
indictments,             27.0 
bribes,             25.0 
convictions,             25.0 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
plea,             41.7 
sentencing,             38.3 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
arrest,             31.4 
prosecution,             31.0 
crimes,             30.6 
victim,             28.8 
violent,             27.9 
misdemeanor,             26.4 
sentence,             26.4 
convictions,             25.0 
expose,             25.0 
gang,             69.0 
prosecutor,             53.0 
prosecution,             51.7 
bail,             49.0 
suspect,             45.0 
arrest,             38.3 
sentencing,             38.3 
misdemeanor,             37.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
crimes,             30.6 
defendants,             29.3 
victim,             28.8 
violent,             27.9 
arrested,             27.3 
witnesses,             27.0 
convictions,             25.0 
plea,             25.0 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
crimes,             39.3 
sentencing,             38.3 
addicts,             35.0 
victim,             34.1 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
prosecution,             31.0 
prison,             29.4 
violent,             27.9 
arrest,             26.5 
misdemeanor,             26.4 
sentence,             26.4 
convictions,             25.0 
crime,             25.0 
prosecutor,             88.3 
bail,             81.7 
gang,             69.0 
defendants,             68.3 
misdemeanor,             61.7 
suspect,             45.0 
witnesses,             45.0 
convictions,             41.7 
violent,             39.0 
arrest,             38.3 
prison,             37.9 
addicts,             35.0 
arraigned,             31.7 
arraignment,             31.7 
fatal,             31.7 
weapon,             31.7 
crimes,             30.6 
victim,             28.8 
endangering,             28.3 
investigator,             28.3 
gang,             69.0 
prosecutor,             53.0 
bail,             49.0 
suspect,             45.0 
sentencing,             38.3 
addicts,             35.0 
victim,             34.1 
